name,serving_size,calories,total_fat,cholesterol,sodium,protein,carbohydrate,fiber,sugars
Cornstarch,100 g,381,0.1g,0,9.00 mg,0.26 g,91.27 g,0.9 g,0.00 g
"Nuts, pecans",100 g,691,72g,0,0.00 mg,9.17 g,13.86 g,9.6 g,3.97 g
"Eggplant, raw",100 g,25,0.2g,0,2.00 mg,0.98 g,5.88 g,3.0 g,3.53 g
"Teff, uncooked",100 g,367,2.4g,0,12.00 mg,13.30 g,73.13 g,8.0 g,1.84 g
"Sherbet, orange",100 g,144,2g,1mg,46.00 mg,1.10 g,30.40 g,1.3 g,24.32 g
"Cauliflower, raw",100 g,25,0.3g,0,30.00 mg,1.92 g,4.97 g,2.0 g,1.91 g
"Taro leaves, raw",100 g,42,0.7g,0,3.00 mg,4.98 g,6.70 g,3.7 g,3.01 g
"Lamb, raw, ground",100 g,282,23g,73mg,59.00 mg,16.56 g,0.00 g,0.0 g,0.00 g
"Cheese, camembert",100 g,300,24g,72mg,842.00 mg,19.80 g,0.46 g,0.0 g,0.46 g
Vegetarian fillets,100 g,290,18g,0,490.00 mg,23.00 g,9.00 g,6.1 g,0.80 g
"PACE, Picante Sauce",100 g,25,0g,0,781.00 mg,0.00 g,6.25 g,3.1 g,6.25 g
"Goji berries, dried",100 g,349,0.4g,0,298.00 mg,14.26 g,77.06 g,13.0 g,45.61 g
"Mango nectar, canned",100 g,51,0.1g,0,5.00 mg,0.11 g,13.12 g,0.3 g,12.45 g
"Crackers, rusk toast",100 g,407,7.2g,78mg,253.00 mg,13.50 g,72.30 g,0,0
"Chicken, boiled, feet",100 g,215,15g,84mg,67.00 mg,19.40 g,0.20 g,0.0 g,0.00 g
"Quail, raw, meat only",100 g,134,4.5g,70mg,51.00 mg,21.76 g,0.00 g,0.0 g,0
"Pie, lemon, fried pies",100 g,316,16g,0,374.00 mg,3.00 g,42.60 g,2.6 g,0
"Peppers, raw, jalapeno",100 g,29,0.4g,0,3.00 mg,0.91 g,6.50 g,2.8 g,4.12 g
"Winged bean tuber, raw",100 g,148,0.9g,0,35.00 mg,11.60 g,28.10 g,0,0
"Salami, turkey, cooked",100 g,172,9.2g,76mg,1107.00 mg,19.20 g,1.55 g,0.1 g,1.12 g
"Grapes, raw, muscadine",100 g,57,0.5g,0,1.00 mg,0.81 g,13.93 g,3.9 g,0
"Nuts, raw, ginkgo nuts",100 g,182,1.7g,0,7.00 mg,4.32 g,37.60 g,0,0
"Spices, ground, savory",100 g,272,5.9g,0,24.00 mg,6.73 g,68.73 g,45.7 g,0
"Candies, sesame crunch",100 g,516,33g,0,167.00 mg,11.60 g,50.30 g,7.7 g,31.17 g
"Cheese, low fat, cream",100 g,201,15g,54mg,359.00 mg,7.85 g,8.13 g,0.0 g,5.82 g
"PACE, Green Taco Sauce",100 g,25,0g,0,0,0.00 g,6.25 g,0,6.25 g
"Syrup, Canadian, maple",100 g,270,0g,0,9.00 mg,0.00 g,67.38 g,0.0 g,59.92 g
"Ostrich, raw, top loin",100 g,119,3g,75mg,81.00 mg,21.67 g,0.00 g,0.0 g,0.00 g
"Chewing gum, sugarless",100 g,268,0.4g,0,7.00 mg,0.00 g,94.80 g,2.4 g,0.00 g
"Nuts, dried, pine nuts",100 g,673,68g,0,2.00 mg,13.69 g,13.08 g,3.7 g,3.59 g
"Pasta, unenriched, dry",100 g,371,1.5g,0,6.00 mg,13.04 g,74.67 g,3.2 g,2.67 g
"McDONALD'S, Side Salad",100 g,20,0.2g,0,12.00 mg,1.03 g,4.30 g,1.6 g,2.24 g
"Cookies, Marie biscuit",100 g,406,11g,0,370.00 mg,7.05 g,70.54 g,3.5 g,21.16 g
"Broccoli, raw, chinese",100 g,30,0.8g,0,7.00 mg,1.20 g,4.67 g,2.6 g,0.88 g
"McDONALD'S, Hash Brown",100 g,271,16g,0,580.00 mg,2.48 g,28.56 g,2.8 g,0.54 g
"Agave, raw (Southwest)",100 g,68,0.2g,0,14.00 mg,0.52 g,16.23 g,6.6 g,2.58 g
"Emu, raw, outside drum",100 g,103,0.5g,78mg,100.00 mg,23.08 g,0.00 g,0.0 g,0.00 g
"Nuts, dried, beechnuts",100 g,576,50g,0,38.00 mg,6.20 g,33.50 g,0,0
"Currants, dried, zante",100 g,283,0.3g,0,8.00 mg,4.08 g,74.08 g,6.8 g,67.28 g
"Lentils, raw, sprouted",100 g,106,0.6g,0,11.00 mg,8.96 g,22.14 g,0,0
"Gravy, mix, dry, onion",100 g,322,3g,2mg,4186.00 mg,9.00 g,67.64 g,6.0 g,0
"Pie, fruit, fried pies",100 g,316,16g,0,333.00 mg,3.00 g,42.60 g,2.6 g,21.40 g
"Snacks, cakes, popcorn",100 g,384,3.1g,0,288.00 mg,9.70 g,80.10 g,2.9 g,0.72 g
"Snack, Mixed Berry Bar",100 g,383,11g,0,447.00 mg,13.16 g,58.84 g,7.9 g,26.32 g
"Fish, raw, sheepshead",100 g,108,2.4g,50mg,71.00 mg,20.21 g,0.00 g,0.0 g,0
"Babyfood, pear, juice",100 g,47,0g,0,8.00 mg,0.00 g,11.86 g,0.1 g,7.28 g
"Brussels sprouts, raw",100 g,43,0.3g,0,25.00 mg,3.38 g,8.95 g,3.8 g,2.20 g
"Broccoli raab, cooked",100 g,33,0.5g,0,56.00 mg,3.83 g,3.12 g,2.8 g,0.62 g
"Butter oil, anhydrous",100 g,876,99g,256mg,2.00 mg,0.28 g,0.00 g,0.0 g,0.00 g
"Chicory, raw, witloof",100 g,17,0.1g,0,2.00 mg,0.90 g,4.00 g,3.1 g,0
"KEEBLER, Waffle Cones",100 g,424,5.3g,0,149.00 mg,6.50 g,87.70 g,1.8 g,31.60 g
"KEEBLER, Waffle Bowls",100 g,424,5.3g,0,149.00 mg,6.50 g,87.70 g,1.8 g,31.60 g
